Man City,Manchester City
Man Utd,Manchester United
Nottm Forest,Nottingham Forest
Sheff Utd,Sheffield United
Oxford Utd,Oxford United
Brighton,Brighton and Hove Albion
Leicester,Leicester City
Norwich,Norwich City
West Ham,West Ham United
Leeds,Leeds United
Cardiff,Cardiff City
Sheff Wed,Sheffield Wednesday
Inter Milan,Internazionale
Huddersfield,Huddersfield Town
West Brom,West Bromwich Albion
Charlton,Charlton Athletic
QPR,Queens Park Rangers
Stoke,Stoke City
PSG,Paris Saint-Germain
Coventry,Coventry City
Rotherham,Rotherham United
Derby,Derby County
Krasnodar,FC Krasnodar
Swansea,Swansea City
Northampton,Northampton Town
Exeter,Exeter City
Oldham,Oldham Athletic
Swindon,Swindon Town
Tranmere,Tranmere Rovers
Sutton Utd,Sutton United
Harrogate,Harrogate Town
Bournemouth,AFC Bournemouth
